Team,Opponent,Ground,Toss,Result
Pakistan,Sri Lanka,Sharjah,Lose,Lose
Sri Lanka,Pakistan,Sharjah,Win,Win
India,Sri Lanka,Sharjah,Win,Win
Sri Lanka,India,Sharjah,Lose,Lose
India,Pakistan,Sharjah,Win,Win
Pakistan,India,Sharjah,Lose,Lose
Sri Lanka,Pakistan,Colombo(PSS),Win,Lose
Pakistan,Sri Lanka,Colombo(PSS),Lose,Win
Bangladesh,Pakistan,Moratuwa,Lose,Lose
Pakistan,Bangladesh,Moratuwa,Win,Win
Sri Lanka,Bangladesh,Kandy,win,win
Bangladesh,Sri Lanka,Kandy,Lose,Lose
Sri Lanka,Pakistan,Colombo(SSC),Win,Win
Pakistan,Sri Lanka,Colombo(SSC),Lose,Lose
Pakistan,Sri Lanka,Dhaka,Lose,Lose
Sri Lanka,Pakistan,Dhaka,Win,Win
Bangladesh,India,Chattogram,Lose,Lose
India,Bangladesh,Chattogram,Win,Win
India,Sri Lanka,Dhaka,Win,Lose
Sri Lanka,India,Dhaka,Lose,Win
Bangladesh,Pakistan,Chattogram,Lose,Lose
Pakistan,Bangladesh,Chattogram,Win,Win
India,Pakistan,Dhaka,Win,Win
Pakistan,India,Dhaka,Lose,Lose
Bangladesh,Sri Lanka,Dhaka,Lose,Lose
Sri Lanka,Bangladesh,Dhaka,Win,Win
India,Sri Lanka,Dhaka,Win,Win
Sri Lanka,India,Dhaka,Lose,Lose
India,Bangladesh,Chandigarh,Lose,Win
Bangladesh,India,Chandigarh,Win,Lose
India,Sri Lanka,Cuttack,Lose,Lose
Sri Lanka,India,Cuttack,Win,Win
Bangladesh,Sri Lanka,Kolkata,Lose,Lose
Sri Lanka,Bangladesh,Kolkata,Win,Win
India,Sri Lanka,Kolkata,Win,Win
Sri Lanka,India,Kolkata,Lose,Lose
Bangladesh,India,Sharjah,Win,Lose
India,Bangladesh,Sharjah,Lose,Win
Bangladesh,Sri Lanka,Sharjah,Win,Lose
Sri Lanka,Bangladesh,Sharjah,Lose,Win
India,Pakistan,Sharjah,Lose,Lose
Pakistan,India,Sharjah,Win,Win
Bangladesh,Pakistan,Sharjah,Win,Lose
Pakistan,Bangladesh,Sharjah,Lose,Win
India,Sri Lanka,Sharjah,Lose,Win
Sri Lanka,India,Sharjah,Win,Lose
Pakistan,Sri Lanka,Sharjah,Lose,Lose
Sri Lanka,Pakistan,Sharjah,Win,Win
India,Sri Lanka,Sharjah,Win,Win
Sri Lanka,India,Sharjah,Lose,Lose
Sri Lanka,Pakistan,Colombo(RPS),Lose,Win
Pakistan,Sri Lanka,Colombo(RPS),Win,Lose
Bangladesh,Pakistan,Colombo(RPS),Lose,Lose
Pakistan,Bangladesh,Colombo(RPS),Win,Win
Sri Lanka,India,Colombo(RPS),Win,Win
India,Sri Lanka,Colombo(RPS),Lose,Lose
India,Pakistan,Colombo(SSC),Win,No Result
Pakistan,India,Colombo(SSC),Lose,No Result
Sri Lanka,Bangladesh,Colombo(SSC),Lose,Win
Bangladesh,Sri Lanka,Colombo(SSC),Win,Lose
Bangladesh,India,Colombo(SSC),Lose,Lose
India,Bangladesh,Colombo(SSC),Win,Win
Sri Lanka,India,Colombo(RPS),Lose,Win
India,Sri Lanka,Colombo(RPS),Win,Lose
Bangladesh,Sri Lanka,Dhaka,Lose,Lose
Sri Lanka,Bangladesh,Dhaka,Win,Win
Bangladesh,India,Dhaka,Win,Lose
India,Bangladesh,Dhaka,Lose,Win
India,Sri Lanka,Dhaka,Lose,Lose
Sri Lanka,India,Dhaka,Win,Win
Bangladesh,Pakistan,Dhaka,Lose,Lose
Pakistan,Bangladesh,Dhaka,Win,Win
India,Pakistan,Dhaka,Lose,Lose
Pakistan,India,Dhaka,Win,Win
Pakistan,Sri Lanka,Dhaka,Lose,Win
Sri Lanka,Pakistan,Dhaka,Win,Lose
Pakistan,Sri Lanka,Dhaka,Win,Win
Sri Lanka,Pakistan,Dhaka,Lose,Lose
Bangladesh,Hong Kong,Colombo(SSC),Lose,Win
Hong Kong,Bangladesh,Colombo(SSC),Win,Lose
India,UAE,Dambulla,Win,Win
UAE,India,Dambulla,Lose,Lose
Bangladesh,Pakistan,Colombo(SSC),Lose,Lose
Pakistan,Bangladesh,Colombo(SSC),Win,Win
Sri Lanka,UAE,Dambulla,Win,Win
UAE,Sri Lanka,Dambulla,Lose,Lose
Hong Kong,Pakistan,Colombo(SSC),Lose,Lose
Pakistan,Hong Kong,Colombo(SSC),Win,Win
Sri Lanka,India,Dambulla,Win,Win
India,Sri Lanka,Dambulla,Lose,Lose
Bangladesh,India,Colombo(SSC),Lose,Lose
India,Bangladesh,Colombo(SSC),Win,Win
Sri Lanka,Pakistan,Colombo(RPS),Lose,Win
Pakistan,Sri Lanka,Colombo(RPS),Win,Lose
Sri Lanka,Bangladesh,Colombo(RPS),Lose,Win
Bangladesh,Sri Lanka,Colombo(RPS),Win,Lose
India,Pakistan,Colombo(RPS),Lose,Lose
Pakistan,India,Colombo(RPS),Win,Win
Sri Lanka,India,Colombo(RPS),Lose,Lose
India,Sri Lanka,Colombo(RPS),Win,Win
Bangladesh,Pakistan,Colombo(RPS),Win,Lose
Pakistan,Bangladesh,Colombo(RPS),Lose,Win
Sri Lanka,India,Colombo(RPS),Win,Win
India,Sri Lanka,Colombo(RPS),Lose,Lose
Bangladesh,UAE,Lahore,Win,Win
UAE,Bangladesh,Lahore,Lose,Lose
Pakistan,Hong Kong,Karachi,Win,Win
Hong Kong,Pakistan,Karachi,Lose,Lose
Bangladesh,Sri Lanka,Lahore,Win,Lose
Sri Lanka,Bangladesh,Lahore,Lose,Win
Hong Kong,India,Karachi,Lose,Lose
India,Hong Kong,Karachi,Win,Win
Pakistan,India,Karachi,Win,Lose
India,Pakistan,Karachi,Lose,Win
Sri Lanka,UAE,Lahore,Win,Win
UAE,Sri Lanka,Lahore,Lose,Lose
Bangladesh,India,Karachi,Win,Lose
India,Bangladesh,Karachi,Lose,Win
Pakistan,Sri Lanka,Karachi,Win,Lose
Sri Lanka,Pakistan,Karachi,Lose,Win
Bangladesh,Sri Lanka,Karachi,Lose,Lose
Sri Lanka,Bangladesh,Karachi,Win,Win
Pakistan,India,Karachi,Lose,Win
India,Pakistan,Karachi,Win,Lose
India,Sri Lanka,Karachi,Lose,Win
Sri Lanka,India,Karachi,Win,Lose
Pakistan,Bangladesh,Karachi,Lose,Win
Bangladesh,Pakistan,Karachi,Win,Lose
India,Sri Lanka,Karachi,Win,Lose
Sri Lanka,India,Karachi,Lose,Win
Sri Lanka,Pakistan,Dambulla,Win,Win
Pakistan,Sri Lanka,Dambulla,Lose,Lose
Bangladesh,India,Dambulla,Win,Lose
India,Bangladesh,Dambulla,Lose,Win
Sri Lanka,Bangladesh,Dambulla,Win,Win
Bangladesh,Sri Lanka,Dambulla,Lose,Lose
India,Pakistan,Dambulla,Lose,Win
Pakistan,India,Dambulla,Win,Lose
Bangladesh,Pakistan,Dambulla,Lose,Lose
Pakistan,Bangladesh,Dambulla,Win,Win
Sri Lanka,India,Dambulla,Win,Win
India,Sri Lanka,Dambulla,Lose,Lose
Sri Lanka,India,Dambulla,Lose,Lose
India,Sri Lanka,Dambulla,Win,Win
Bangladesh,Pakistan,Mirpur,Win,Lose
Pakistan,Bangladesh,Mirpur,Lose,Win
India,Sri Lanka,Mirpur,Lose,Win
Sri Lanka,India,Mirpur,Win,Lose
Pakistan,Sri Lanka,Mirpur,Lose,Win
Sri Lanka,Pakistan,Mirpur,Win,Lose
Bangladesh,India,Mirpur,Win,Win
India,Bangladesh,Mirpur,Lose,Lose
India,Pakistan,Mirpur,Lose,Win
Pakistan,India,Mirpur,Win,Lose
Bangladesh,Sri Lanka,Mirpur,Win, Win D/L
Sri Lanka,Bangladesh,Mirpur,Lose, Lose D/L
Bangladesh,Pakistan,Mirpur,Win,Lose
Pakistan,Bangladesh,Mirpur,Lose,Win
Pakistan,Sri Lanka,Fatullah,Lose,Lose
Sri Lanka,Pakistan,Fatullah,Win,Win
Bangladesh,India,Fatullah,Lose,Lose
India,Bangladesh,Fatullah,Win,Win
Afghanistan,Pakistan,Fatullah,Win,Lose
Pakistan,Afghanistan,Fatullah,Lose,Win
India,Sri Lanka,Fatullah,Lose,Lose
Sri Lanka,India,Fatullah,Win,Win
Bangladesh,Afghanistan,Fatullah,Win,Lose
Afghanistan,Bangladesh,Fatullah,Lose,Win
India,Pakistan,Mirpur,Lose,Lose
Pakistan,India,Mirpur,Win,Win
Afghanistan,Sri Lanka,Mirpur,Lose,Lose
Sri Lanka,Afghanistan,Mirpur,Win,Win
Bangladesh,Pakistan,Mirpur,Win,Lose
Pakistan,Bangladesh,Mirpur,Lose,Win
Afghanistan,India,Mirpur,Lose,Lose
India,Afghanistan,Mirpur,Win,Win
Bangladesh,Sri Lanka,Mirpur,Win,Lose
Sri Lanka,Bangladesh,Mirpur,Lose,Win
Pakistan,Sri Lanka,Mirpur,Win,Lose
Sri Lanka,Pakistan,Mirpur,Lose,Win
Bangladesh,India,Mirpur,Win,Lose
India,Bangladesh,Mirpur,Lose,Win
Sri Lanka,UAE,Mirpur,Lose,Win
UAE,Sri Lanka,Mirpur,Win,Lose
Bangladesh,UAE,Mirpur,Lose,Win
UAE,Bangladesh,Mirpur,Win,Lose
India,Pakistan,Mirpur,Win,Win
Pakistan,India,Mirpur,Lose,Lose
Bangladesh,Sri Lanka,Mirpur,Win,Win
Sri Lanka,Bangladesh,Mirpur,Lose,Lose
Pakistan,UAE,Mirpur,Lose,Win
UAE,Pakistan,Mirpur,Win,Lose
India,Sri Lanka,Mirpur,Win,Win
Sri Lanka,India,Mirpur,Lose,Lose
Bangladesh,Pakistan,Mirpur,Lose,Win
Pakistan,Bangladesh,Mirpur,Win,Lose
India,UAE,Mirpur,Lose,Win
UAE,India,Mirpur,Win,Lose
Pakistan,Sri Lanka,Mirpur,Win,Win
Sri Lanka,Pakistan,Mirpur,Lose,Lose
Bangladesh,India,Mirpur,Lose,Lose
India,Bangladesh,Mirpur,Win,Win
Bangladesh,Sri Lanka,Dubai(DSC),Win,Win
Sri Lanka,Bangladesh,Dubai(DSC),Lose,Lose
Hong Kong,Pakistan,Dubai(DSC),Win,Lose
Pakistan,Hong Kong,Dubai(DSC),Lose,Win
Afghanistan,Sri Lanka,Abu Dhabi,Win,Win
Sri Lanka,Afghanistan,Abu Dhabi,Lose,Lose
Hong Kong,India,Dubai(DSC),Win,Lose
India,Hong Kong,Dubai(DSC),Lose,Win
India,Pakistan,Dubai(DSC),Lose,Win
Pakistan,India,Dubai(DSC),Win,Lose
Afghanistan,Bangladesh,Abu Dhabi,Win,Win
Bangladesh,Afghanistan,Abu Dhabi,Lose,Lose
Bangladesh,India,Dubai(DSC),Lose,Lose
India,Bangladesh,Dubai(DSC),Win,Win
Afghanistan,Pakistan,Abu Dhabi,Win,Lose
Pakistan,Afghanistan,Abu Dhabi,Lose,Win
India,Pakistan,Dubai(DSC),Lose,Win
Pakistan,India,Dubai(DSC),Win,Lose
Afghanistan,Bangladesh,Abu Dhabi,Lose,Lose
Bangladesh,Afghanistan,Abu Dhabi,Win,Win
Afghanistan,India,Dubai(DSC),Win,No Result
India,Afghanistan,Dubai(DSC),Lose,No Result
Bangladesh,Pakistan,Abu Dhabi,Win,Win
Pakistan,Bangladesh,Abu Dhabi,Lose,Lose
Bangladesh,India,Dubai(DSC),Lose,Lose
India,Bangladesh,Dubai(DSC),Win,Win
Afghanistan,Sri Lanka,Dubai(DSC),Win,Win
Sri Lanka,Afghanistan,Dubai(DSC),Lose,Lose
India,Pakistan,Dubai(DSC),Win,Win
Pakistan,India,Dubai(DSC),Lose,Lose
Afghanistan,Bangladesh,Sharjah,Lose,Win
Bangladesh,Afghanistan,Sharjah,Win,Lose
Hong Kong,India,Dubai(DSC),Win,Lose
India,Hong Kong,Dubai(DSC),Lose,Win
Bangladesh,Sri Lanka,Dubai(DSC),Lose,Lose
Sri Lanka,Bangladesh,Dubai(DSC),Win,Win
Hong Kong,Pakistan,Sharjah,Win,Lose
Pakistan,Hong Kong,Sharjah,Lose,Win
Afghanistan,Sri Lanka,Sharjah,Lose,Lose
Sri Lanka,Afghanistan,Sharjah,Win,Win
India,Pakistan,Dubai(DSC),Lose,Lose
Pakistan,India,Dubai(DSC),Win,Win
India,Sri Lanka,Dubai(DSC),Lose,Lose
Sri Lanka,India,Dubai(DSC),Win,Win
Afghanistan,Pakistan,Sharjah,Lose,Lose
Pakistan,Afghanistan,Sharjah,Win,Win
Afghanistan,India,Dubai(DSC),Win,Lose
India,Afghanistan,Dubai(DSC),Lose,Win
Pakistan,Sri Lanka,Dubai(DSC),Lose,Lose
Sri Lanka,Pakistan,Dubai(DSC),Win,Win
Pakistan,Sri Lanka,Dubai(DSC),Win,Lose
Sri Lanka,Pakistan,Dubai(DSC),Lose,Win
